        2       1      19       6       1       2
 BH3                                                                             
 aoints SIFS file created by argos.      colosse2          16:37:21.494 14-Jan-18
       19
     a
        2    4096    3272    4096    2700       0
     1B__1s    2B__1s    3B__1s    4B__1s    5B__2p    6B__2p    7B__2p    8B__2p
     9B__2p   10B__2p   11B__2p   12B__2p   13B__2p   14H__1s   15H__1s   16H__1s
    17H__1s   18H__1s   19H__1s
       -1
   4.482141621496E-01  10   7
   2.010810115179E+00   8   8
   6.032430345538E+00   9   9
   2.010810115179E+00  10  10
   1.459903989088E-01  11   5
   4.379711967265E-01  12   6
   1.459903989088E-01  13   7
   1.855176061308E+00  11   8
   5.565528183925E+00  12   9
   1.855176061308E+00  13  10
   7.936507936508E+00  11  11
   2.380952380952E+01  12  12
   7.936507936508E+00  13  13
   1.662791674662E-03  14   1
   8.749390980901E-02  14   2
   1.548364886456E-01  14   3
   1.055467681098E-01  14   4
   1.294306790658E-01  14   7
   2.128523701479E-01  14  10
   8.089066712319E-02  14  13
   1.079145159779E-02  15   1
   3.962642483798E-01  15   2
   1.089912999323E+00  15   3
   1.211326815048E+00  15   4
   2.587165029085E-01  15   7
   1.026112083272E+00  15  10
   8.222286550241E-01  15  13
