        2       1      27       5       1       2
 CO2_6-31G                                                                       
 aoints SIFS file created by argos.      colosse1          12:04:00.930 23-Jun-14
       27
     a
        2    4096    3272    4096    2700
     1C__1s    2C__1s    3C__1s    4C__2p    5C__2p    6C__2p    7C__2p    8C__2p
     9C__2p   10O__1s   11O__1s   12O__1s   13O__2p   14O__2p   15O__2p   16O__2p
    17O__2p   18O__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
   5.455788611297E-01  12   7
   1.470964638260E-03  13   1
   1.000612339944E-01  13   2
   2.024887152569E-01  13   3
  -1.513640916752E-01  13   6
   8.284746669879E-02  15   4
  -3.164883690711E-01  13   9
   4.815116741008E-02  15   7
   8.024850112881E-03  16   1
   2.728899520147E-01  16   2
   6.901889559970E-01  16   3
  -2.056534895740E-01  16   6
   4.670534967062E-01  18   4
  -7.649206736212E-01  16   9
   4.779642974247E-01  18   7
   7.270778062967E-02  13  10
   4.960752843665E-01  13  11
   4.825832786071E-01  13  12
   1.001900095342E-02  16  10
   3.290897243406E-01  16  11
   9.622401135333E-01  16  12
   1.467563702004E-03  19   4
   2.619407313469E-03  19   7
   7.328695623188E-02  20   4
   1.125775874719E-01  20   7
   2.952925813721E-01  21   4
   5.455788611297E-01  21   7
   1.470964638260E-03  22   1
   1.000612339944E-01  22   2
   2.024887152569E-01  22   3
   1.513640916752E-01  22   6
  -8.284746669879E-02  24   4
   3.164883690711E-01  22   9
  -4.815116741008E-02  24   7
   8.024850112881E-03  25   1
   2.728899520147E-01  25   2
   6.901889559970E-01  25   3
   2.056534895740E-01  25   6
  -4.670534967062E-01  27   4
   7.649206736212E-01  25   9
  -4.779642974247E-01  27   7
   1.513643426745E-09  19  13
   6.845748034275E-05  19  16
   2.400265228394E-05  20  13
   5.530752597144E-03  20  16
   7.466544264903E-03  21  13
   7.183607825020E-02  21  16
   1.513643426745E-09  22  10
   2.400265228394E-05  22  11
   7.466544264903E-03  22  12
   6.823207796612E-05  22  15
  -6.823207796612E-05  24  13
   2.718718588823E-02  22  18
  -6.831931470107E-03  24  16
   6.845748034275E-05  25  10
   5.530752597144E-03  25  11
   7.183607825020E-02  25  12
   6.831931470107E-03  25  15
  -2.718718588823E-02  27  13
   1.636500025884E-01  25  18
  -1.636500025884E-01  27  16
   7.270778062967E-02  22  19
   4.960752843665E-01  22  20
   4.825832786071E-01  22  21
   1.001900095342E-02  25  19
   3.290897243406E-01  25  20
   9.622401135333E-01  25  21
      78     80      0      1      1      0      1      2
   0.000000000000E+00
   9.483174787055E-02   5   1
   6.854072419001E-01   5   2
   6.935557168139E-01   5   3
   1.593114662704E-02   8   1
   5.022096855480E-01   8   2
   1.217289647188E+00   8   3
   1.467563702004E-03  10   5
   2.619407313469E-03  10   8
   7.328695623188E-02  11   5
   1.125775874719E-01  11   8
   2.952925813721E-01  12   5
   5.455788611297E-01  12   8
   1.470964638260E-03  14   1
   1.000612339944E-01  14   2
   2.024887152569E-01  14   3
  -1.513640916752E-01  14   6
   8.284746669879E-02  15   5
  -3.164883690711E-01  14   9
   4.815116741008E-02  15   8
   8.024850112881E-03  17   1
   2.728899520147E-01  17   2
   6.901889559970E-01  17   3
  -2.056534895740E-01  17   6
   4.670534967062E-01  18   5
  -7.649206736212E-01  17   9
   4.779642974247E-01  18   8
   7.270778062967E-02  14  10
   4.960752843665E-01  14  11
   4.825832786071E-01  14  12
   1.001900095342E-02  17  10
   3.290897243406E-01  17  11
   9.622401135333E-01  17  12
   1.467563702004E-03  19   5
   2.619407313469E-03  19   8
   7.328695623188E-02  20   5
   1.125775874719E-01  20   8
   2.952925813721E-01  21   5
   5.455788611297E-01  21   8
   1.470964638260E-03  23   1
   1.000612339944E-01  23   2
   2.024887152569E-01  23   3
   1.513640916752E-01  23   6
  -8.284746669879E-02  24   5
   3.164883690711E-01  23   9
  -4.815116741008E-02  24   8
   8.024850112881E-03  26   1
   2.728899520147E-01  26   2
   6.901889559970E-01  26   3
   2.056534895740E-01  26   6
  -4.670534967062E-01  27   5
   7.649206736212E-01  26   9
  -4.779642974247E-01  27   8
   1.513643426745E-09  19  14
   6.845748034275E-05  19  17
   2.400265228394E-05  20  14
   5.530752597144E-03  20  17
   7.466544264903E-03  21  14
   7.183607825020E-02  21  17
   1.513643426745E-09  23  10
   2.400265228394E-05  23  11
   7.466544264903E-03  23  12
   6.823207796612E-05  23  15
  -6.823207796612E-05  24  14
   2.718718588823E-02  23  18
  -6.831931470107E-03  24  17
   6.845748034275E-05  26  10
   5.530752597144E-03  26  11
   7.183607825020E-02  26  12
   6.831931470107E-03  26  15
  -2.718718588823E-02  27  14
   1.636500025884E-01  26  18
  -1.636500025884E-01  27  17
   7.270778062967E-02  23  19
   4.960752843665E-01  23  20
   4.825832786071E-01  23  21
   1.001900095342E-02  26  19
   3.290897243406E-01  26  20
   9.622401135333E-01  26  21
     138    140      0      1      2      0      1      2
   0.000000000000E+00
   9.483174787055E-02   6   1
   6.854072419001E-01   6   2
   6.935557168139E-01   6   3
   1.593114662704E-02   9   1
   5.022096855480E-01   9   2
   1.217289647188E+00   9   3
  -9.776686565420E-06  10   1
  -5.437831834036E-02  10   2
  -1.161419000582E-01  10   3
   1.101636801282E-01  10   6
   2.076248303576E-01  10   9
  -4.992750346172E-03  11   1
  -2.844210043586E-01  11   2
  -5.723444328000E-01  11   3
   4.812719997819E-01  11   6
   9.870977340907E-01  11   9
  -9.140718520092E-03  12   1
  -3.108357418818E-01  12   2
  -7.861608483276E-01  12   3
   5.295425217982E-01  12   6
   1.416862993471E+00  12   9
  -9.766062956793E-03  15   1
  -2.472359343108E-01  15   2
  -8.247573832602E-02  15   3
  -1.513640916752E-01  13   4
  -1.513640916752E-01  14   5
   3.404345063311E-01  15   6
  -3.164883690711E-01  13   7
  -3.164883690711E-01  14   8
  -1.388700129185E-01  15   9
  -1.135873229423E-02  18   1
  -1.964515820537E-01  18   2
   1.458427186419E-03  18   3
  -2.056534895740E-01  16   4
  -2.056534895740E-01  17   5
