        2       1      27       6       1       2
                                                                                 
 aoints SIFS file created by argos.      colosse3          08:39:35.718 03-Nov-17
       27
     a
        2    4096    3272    4096    2700       0
     1O__1s    2O__1s    3O__1s    4O__2p    5O__2p    6O__2p    7O__2p    8O__2p
     9O__2p   10C__1s   11C__1s   12C__1s   13C__2p   14C__2p   15C__2p   16C__2p
    17C__2p   18C__2p   19O__1s   20O__1s   21O__1s   22O__2p   23O__2p   24O__2p
    25O__2p   26O__2p   27O__2p
       -1
  -1.864712283101E+00  19  12
  -1.709439063338E+00  19  13
  -3.391643665016E+00  19  16
  -2.022287928270E-01  20  10
  -2.610477742769E+00  20  11
  -4.057075006487E+00  20  12
  -4.182930040704E+00  20  13
  -6.321720494485E+00  20  16
  -1.721915388512E+00  21  10
  -4.864746314237E+00  21  11
  -6.310497423161E+00  21  12
  -4.452501550671E+00  21  13
  -6.900364345683E+00  21  16
   4.997866945185E-01  22  10
   3.018629579742E+00  22  11
   2.166700077608E+00  22  12
   4.148234162453E+00  22  13
  -1.222088914148E+00  23  14
  -1.222088914148E+00  24  15
   1.398957800546E+00  22  16
  -1.869209066758E+00  23  17
  -1.869209066758E+00  24  18
   3.859278534525E+00  25  10
   7.303963251274E+00  25  11
   5.982777322713E+00  25  12
   3.331706743257E+00  25  13
  -3.132854018457E+00  26  14
  -3.132854018457E+00  27  15
   8.316590301314E-01  25  16
  -4.610648055590E+00  26  17
  -4.610648055590E+00  27  18
  -6.593883378463E+01  19  19
  -5.965547347216E+00  20  19
  -1.498879301621E+01  20  20
  -6.064073594255E+00  21  19
  -1.043335492256E+01  21  20
  -1.103840738718E+01  21  21
   1.155791514798E-01  22  19
   7.885127798926E-01  22  20
   7.647268233846E-01  22  21
  -1.630823649016E+01  22  22
  -1.598650008007E+01  23  23
  -1.598650008007E+01  24  24
   1.592659848565E-02  25  19
   5.212026436717E-01  25  20
   1.366040940570E+00  25  21
  -6.227139492846E+00  25  22
  -5.902434639941E+00  26  23
  -5.902434639941E+00  27  24
  -9.506450482187E+00  25  25
  -8.323289728656E+00  26  26
  -8.323289728656E+00  27  27
      76     78      0      1      0      0      1      2
   0.000000000000E+00
   7.270778062967E-02   5   1
   4.960752843665E-01   5   2
   4.825832786071E-01   5   3
   1.001900095342E-02   8   1
   3.290897243406E-01   8   2
   9.622401135333E-01   8   3
   1.228018183855E-03  10   5
   7.579137467748E-03  10   8
   9.217197774315E-02  11   5
   2.620085771008E-01  11   8
   1.958581840733E-01  12   5
   6.740858665850E-01  12   8
   1.305707126111E-03  14   1
   6.722285048323E-02  14   2
   2.829736254875E-01  14   3
  -1.419397253218E-01  13   5
   7.729889834416E-02  14   4
  -2.018760202755E-01  13   8
   4.578417585649E-01  14   7
   2.523233899839E-03  17   1
   1.089433072227E-01  17   2
   5.328497307868E-01  17   3
  -3.132704171491E-01  16   5
   4.767662049659E-02  17   4
  -7.645439253633E-01  16   8
   4.777288844955E-01  17   7
   9.483174787055E-02  14  10
   6.854072419001E-01  14  11
   6.935557168139E-01  14  12
   1.593114662704E-02  17  10
   5.022096855480E-01  17  11
   1.217289647188E+00  17  12
   5.407536883527E-05  19   8
   1.513393706212E-05  20   5
   4.557582220600E-03  20   8
   6.136330906776E-03  21   5
   6.353609354061E-02  21   8
   1.513393706212E-05  23   2
   6.136330906776E-03  23   3
  -4.401282887752E-05  22   5
   4.401282887752E-05  23   4
  -5.754823268016E-03  22   8
   2.285735985734E-02  23   7
   5.407536883527E-05  26   1
   4.557582220600E-03  26   2
   6.353609354061E-02  26   3
  -2.285735985734E-02  25   5
   5.754823268016E-03  26   4
  -1.481264921230E-01  25   8
   1.481264921230E-01  26   7
   1.305707126111E-03  19  14
   2.523233899839E-03  19  17
   6.722285048323E-02  20  14
   1.089433072227E-01  20  17
   2.829736254875E-01  21  14
   5.328497307868E-01  21  17
   1.228018183855E-03  23  10
   9.217197774315E-02  23  11
   1.958581840733E-01  23  12
  -7.729889834416E-02  22  14
   1.419397253218E-01  23  13
  -4.767662049659E-02  22  17
   3.132704171491E-01  23  16
   7.579137467748E-03  26  10
   2.620085771008E-01  26  11
   6.740858665850E-01  26  12
  -4.578417585649E-01  25  14
   2.018760202755E-01  26  13
  -4.777288844955E-01  25  17
   7.645439253633E-01  26  16
   7.270778062967E-02  23  19
   4.960752843665E-01  23  20
   4.825832786071E-01  23  21
   1.001900095342E-02  26  19
   3.290897243406E-01  26  20
   9.622401135333E-01  26  21
      76     78      0      1      1      0      1      2
   0.000000000000E+00
   7.270778062967E-02   6   1
   4.960752843665E-01   6   2
   4.825832786071E-01   6   3
   1.001900095342E-02   9   1
   3.290897243406E-01   9   2
   9.622401135333E-01   9   3
   1.228018183855E-03  10   6
   7.579137467748E-03  10   9
   9.217197774315E-02  11   6
   2.620085771008E-01  11   9
   1.958581840733E-01  12   6
   6.740858665850E-01  12   9
   1.305707126111E-03  15   1
   6.722285048323E-02  15   2
   2.829736254875E-01  15   3
  -1.419397253218E-01  13   6
   7.729889834416E-02  15   4
  -2.018760202755E-01  13   9
   4.578417585649E-01  15   7
   2.523233899839E-03  18   1
   1.089433072227E-01  18   2
   5.328497307868E-01  18   3
  -3.132704171491E-01  16   6
   4.767662049659E-02  18   4
  -7.645439253633E-01  16   9
   4.777288844955E-01  18   7
   9.483174787055E-02  15  10
   6.854072419001E-01  15  11
   6.935557168139E-01  15  12
   1.593114662704E-02  18  10
   5.022096855480E-01  18  11
   1.217289647188E+00  18  12
   5.407536883527E-05  19   9
   1.513393706212E-05  20   6
   4.557582220600E-03  20   9
   6.136330906776E-03  21   6
   6.353609354061E-02  21   9
   1.513393706212E-05  24   2
   6.136330906776E-03  24   3
  -4.401282887752E-05  22   6
   4.401282887752E-05  24   4
  -5.754823268016E-03  22   9
   2.285735985734E-02  24   7
   5.407536883527E-05  27   1
   4.557582220600E-03  27   2
   6.353609354061E-02  27   3
  -2.285735985734E-02  25   6
   5.754823268016E-03  27   4
  -1.481264921230E-01  25   9
   1.481264921230E-01  27   7
   1.305707126111E-03  19  15
   2.523233899839E-03  19  18
   6.722285048323E-02  20  15
   1.089433072227E-01  20  18
   2.829736254875E-01  21  15
   5.328497307868E-01  21  18
   1.228018183855E-03  24  10
   9.217197774315E-02  24  11
   1.958581840733E-01  24  12
  -7.729889834416E-02  22  15
   1.419397253218E-01  24  13
  -4.767662049659E-02  22  18
   3.132704171491E-01  24  16
   7.579137467748E-03  27  10
   2.620085771008E-01  27  11
   6.740858665850E-01  27  12
  -4.578417585649E-01  25  15
   2.018760202755E-01  27  13
  -4.777288844955E-01  25  18
   7.645439253633E-01  27  16
   7.270778062967E-02  24  19
   4.960752843665E-01  24  20
   4.825832786071E-01  24  21
   1.001900095342E-02  27  19
   3.290897243406E-01  27  20
   9.622401135333E-01  27  21
     138    140      0      1      2      0      1      2
   0.000000000000E+00
  -2.243343030000E+00   1   1
  -5.242466219392E-01   2   1
  -2.243343030000E+00   2   2
  -3.752658827495E-01   3   1
  -1.713108206293E+00   3   2
  -2.243343030000E+00   3   3
   7.270778062967E-02   4   1
   4.960752843665E-01   4   2
   4.825832786071E-01   4   3
  -2.243343030000E+00   4   4
  -2.243343030000E+00   5   5
  -2.243343030000E+00   6   6
